Location,Population,TotalCases,DeathTotal,DeathRate,VaccinatedPopulation,FullyVaccinatedPopulaton
Tokelau,1893,80,0,0,968,968
Tonga,106867,16819,12,0.0713,87342,77360
Trinidad and Tobago,1531043,191496,4390,2.2925,991,97199
Tunisia,12356116,1153361,29423,2.5511,986005,963633
Turkey,85341248,17004677,101419,0.5964,9796506,9839869
Turkmenistan,6430777,0,0,0,3359468,3358426
Turks and Caicos Islands,45726,6630,39,0.5882,6433,30710
Tuvalu,11335,2943,1,0.034,9763,9505
Uganda,47249588,171819,3632,2.1139,90196,912983
Ukraine,39701744,5518385,109904,1.9916,999072,9854989
United Arab Emirates,9441138,1067030,2349,0.2201,9991089,9792266
United Kingdom,67508936,24656914,228542,0.9269,9646715,9930846
United States,338289856,103436829,1129589,1.0921,9989310,9833
United States Virgin Islands,99479,25396,132,0.5198,0,0
Uruguay,3422796,1038803,7635,0.735,983120,997434
Uzbekistan,34627648,171711,1016,0.5917,9787973,5882086
Vanuatu,326744,12019,14,0.1165,96141,8906
Vatican,808,26,0,0,0,0
Venezuela,28301700,552695,5856,1.0595,9926613,9858581
Vietnam,98186856,11622021,43241,0.3721,998698,9818448
Wales,3170000,0,0,0,998296,984651
Wallis and Futuna,11596,3550,8,0.2254,7150,6803
Western Sahara,576005,0,0,0,0,0
Yemen,33696612,11945,2159,18.0745,917435,8577
Zambia,20017670,349287,4069,1.1649,90916,978860
Zimbabwe,16320539,265694,5714,2.1506,988746,99745
