Location,Population,TotalCases,InfectionRate,DeathCount,TotalVaccinated,TotalFullyVaccinated
Saint Vincent and the Grenadines,103959,9631,9.26,124,9383,9998
Samoa,222390,16775,7.54,31,99163,9254
San Marino,33690,24382,72.37,125,9187,9792
Sao Tome and Principe,227393,6589,2.9,80,9724,99341
Saudi Arabia,36408824,841469,2.31,9646,27041364,9923152
Scotland,5466000,0,0,0,985569,993180
Senegal,17316452,89014,0.51,1971,900914,963489
Serbia,6871547,2544952,37.04,18057,971054,919499
Seychelles,107135,50937,47.54,172,88520,83565
Sierra Leone,8605723,7762,0.09,126,82145,964902
Singapore,5637022,2534940,44.97,1872,996974,997393
Sint Maarten (Dutch part),44192,11051,25.01,92,29788,9956
Slovakia,5643455,1866857,33.08,21167,98585,995830
Slovenia,2119843,1344653,63.43,9430,998748,998197
Solomon Islands,724272,21611,2.98,153,9340,9934
Somalia,17597508,27334,0.16,1361,8972167,97425
South Africa,59893884,4072533,6.8,102595,9961650,9911989
South Korea,51815808,33554474,64.76,35411,9725435,9987389
South Sudan,10913172,18368,0.17,138,9744,967199
Spain,47558632,13980340,29.4,121852,9886203,9979204
Sri Lanka,21832150,672569,3.08,16882,996445,9994589
Sudan,46874200,63993,0.14,5046,9925691,9678116
Suriname,618046,82588,13.36,1408,9196,998
Sweden,10549349,2712743,25.71,24536,97244,969198
Switzerland,8740471,4407773,50.43,14028,995202,0
Syria,22125242,57423,0.26,3163,890837,932422
Taiwan,23893396,0,0,0,9908979,996147
Tajikistan,9952789,17786,0.18,125,89121,981132
Tanzania,65497752,43078,0.07,846,8871313,983801
Thailand,71697024,4755443,6.63,34437,9888124,994161
Timor,1341298,23460,1.75,138,93152,86759
Togo,8848700,39511,0.45,290,998792,997183
Tokelau,1893,80,4.23,0,968,968
Tonga,106867,16819,15.74,12,87342,77360
Trinidad and Tobago,1531043,191496,12.51,4390,991,97199
Tunisia,12356116,1153361,9.33,29423,986005,963633
Turkey,85341248,17004677,19.93,101419,9796506,9839869
Turkmenistan,6430777,0,0,0,3359468,3358426
Turks and Caicos Islands,45726,6630,14.5,39,6433,30710
Tuvalu,11335,2943,25.96,1,9763,9505
Uganda,47249588,171729,0.36,3632,90196,912983
Ukraine,39701744,5518385,13.9,109904,999072,9854989
United Arab Emirates,9441138,1067030,11.3,2349,9991089,9792266
United Kingdom,67508936,24656914,36.52,228542,9646715,9930846
United States,338289856,103436829,30.58,1127152,9989310,9833
United States Virgin Islands,99479,25389,25.52,132,0,0
